time (ms),x_accel,y_accel,z_accel
14713.532,0.631912,-0.423126,0.720062
14743.08,0.688278,-0.403336,0.749329
14772.629,0.547211,-0.41655,0.908035
14802.173,0.404892,-0.623611,0.826126
14831.718,0.423004,-0.560532,0.678223
14861.263,0.341782,-0.563751,0.560059
14890.811,0.250839,-0.602997,0.330704
14920.357,0.317825,-0.580139,0.221329
14949.901,0.255203,-0.587555,0.122894
14979.449,0.182892,-0.610794,0.087128
15008.997,0.149048,-0.652405,0.130219
15038.545,0.124832,-0.911453,0.206467
15068.092,0.114929,-1.216629,0.201385
15097.639,0.134262,-1.499069,0.333618
15127.185,0.008301,-1.300781,0.314331
15156.73,-0.305847,-1.519974,0.388428
15186.276,-0.281647,-1.344009,0.229385
15215.823,-0.203552,-1.079956,-0.083206
15245.372,-0.296341,-0.893402,-0.091187
15274.918,-0.066162,-0.997665,-0.116043
15304.462,-0.042847,-0.884872,0.018356
15334.005,-0.066528,-0.993179,0.069443
15363.556,-0.042343,-0.95047,0.098099
15393.103,-0.090118,-0.971664,0.129242
15422.65,-0.109848,-0.971802,0.143967
15452.194,-0.073196,-0.979599,0.125809
15481.742,-0.031723,-0.981842,0.123566
15511.29,-0.086304,-0.975418,0.145004
15540.835,-0.11293,-0.981644,0.137787
15570.381,-0.081802,-0.981293,0.140793
15599.844,-0.08316,-0.966339,0.147797
15629.404,-0.076614,-0.977966,0.152344
15658.948,-0.076248,-0.966949,0.140854
15688.497,-0.059937,-0.985901,0.146133
15718.043,-0.073029,-0.970734,0.137192
15747.588,-0.053787,-0.993149,0.13121
15777.13,-0.090439,-0.968124,0.120056
15806.68,-0.077332,-0.990417,0.113495
15836.226,-0.096298,-0.980347,0.115005
15865.771,-0.0802,-0.978729,0.134125
15895.319,-0.089584,-0.970963,0.123779
15924.862,-0.068329,-0.966202,0.131027
15954.401,-0.061844,-0.968323,0.149857
15983.951,-0.028549,-0.980728,0.157104
16013.495,0.013565,-0.98761,0.150589
16043.04,-0.063934,-0.995605,0.162109
16072.583,-0.088577,-0.970627,0.136887
16102.125,0.02951,-1.008209,0.118469
16131.652,-0.006912,-1.007706,0.094543
16161.218,-0.138443,-0.94928,0.135101
16190.765,-0.190948,-0.975967,0.158966
16220.31,-0.098221,-0.978928,0.113312
16249.855,-0.08252,-0.964096,0.136246
16279.404,-0.117325,-0.965073,0.136215
16308.935,-0.099442,-0.986481,0.082932
16338.5,-0.114792,-0.962952,0.097076
16368.051,-0.093033,-0.997269,0.107971
16397.6,-0.034286,-0.974091,0.165665
16427.147,-0.110046,-0.959274,0.200394
16456.694,-0.090576,-0.971756,0.171112
16486.241,0.123474,-1.057678,0.117935
16515.787,-0.018936,-0.989655,0.115997
16545.334,-0.413101,-0.929413,-0.057327
16574.882,-0.481583,-0.85611,-0.194412
16604.428,-0.202164,-0.948624,-0.068939
16633.978,-0.10199,-0.958344,0.060333
16663.524,0.03479,-1.021255,0.152863
16693.071,0.02037,-1.00296,0.196381
16722.618,0.010422,-1.019485,0.223892
16752.165,-0.021057,-0.980194,0.186905
16781.714,-0.018967,-0.98967,0.188843
16811.26,0.009293,-0.988907,0.163635
16840.809,-0.096634,-1.003616,0.14444
16870.356,-0.174667,-0.999985,0.182816
16899.903,-0.12883,-0.948883,0.08403
16929.451,-0.032745,-1.008209,0.100342
16958.998,-0.036148,-0.947968,0.107422
16988.546,-0.042053,-0.959396,0.078522
17018.094,-0.160828,-0.985077,0.054977
17047.643,-0.088318,-0.978287,0.0271
17077.192,-0.070984,-0.981232,0.014481
17106.739,-0.012283,-0.985168,0.024704
17136.287,-0.030075,-1.00177,0.082855
17165.836,-0.035522,-0.979721,0.067123
17195.383,-0.047592,-1.007812,0.070679
17224.932,-0.051025,-0.993423,0.016037
17254.48,-0.00679,-0.978912,0.009705
17284.029,-0.033615,-0.993942,0.021454
17313.577,-0.058914,-1.00267,-0.000031
17343.125,-0.047882,-0.980698,-0.009796
17372.674,-0.077469,-0.988937,0.040497
17402.221,-0.118607,-0.976746,-0.017105
17431.768,-0.089081,-0.981781,-0.01033
17461.315,-0.045563,-0.993713,0.016327
17490.863,-0.071518,-0.989822,-0.007462
17520.403,-0.06369,-0.981552,-0.000107
